Country Name,Year,Indicator Name,Value
Barbados,2020,Urban population (% of total population),31.191
Barbados,2019,Urban population (% of total population),31.158
Barbados,2018,Urban population (% of total population),31.147
Barbados,2017,Urban population (% of total population),31.159
Barbados,2016,Urban population (% of total population),31.193
Barbados,2015,Urban population (% of total population),31.249
Barbados,2014,Urban population (% of total population),31.328
Barbados,2013,Urban population (% of total population),31.429
Barbados,2012,Urban population (% of total population),31.553
Barbados,2011,Urban population (% of total population),31.7
Barbados,2010,Urban population (% of total population),31.87
Barbados,2009,Urban population (% of total population),32.063
Barbados,2008,Urban population (% of total population),32.256
Barbados,2007,Urban population (% of total population),32.451
Barbados,2006,Urban population (% of total population),32.646
Barbados,2005,Urban population (% of total population),32.841
Barbados,2004,Urban population (% of total population),33.037
Barbados,2003,Urban population (% of total population),33.234
Barbados,2002,Urban population (% of total population),33.431
Barbados,2001,Urban population (% of total population),33.629
Barbados,2000,Urban population (% of total population),33.827
Barbados,1999,Urban population (% of total population),34.152
Barbados,1998,Urban population (% of total population),34.503
Barbados,1997,Urban population (% of total population),34.856
Barbados,1996,Urban population (% of total population),35.21
Barbados,1995,Urban population (% of total population),35.566
Barbados,1994,Urban population (% of total population),35.924
Barbados,1993,Urban population (% of total population),36.283
Barbados,1992,Urban population (% of total population),36.643
Barbados,1991,Urban population (% of total population),37.006
Barbados,1990,Urban population (% of total population),37.37
Barbados,2020,Individuals using the Internet (% of population),76
Barbados,2019,Individuals using the Internet (% of population),74.2
Barbados,2018,Individuals using the Internet (% of population),72.4
Barbados,2017,Individuals using the Internet (% of population),72.3
Barbados,2016,Individuals using the Internet (% of population),72.2
Barbados,2015,Individuals using the Internet (% of population),72
Barbados,2014,Individuals using the Internet (% of population),71.9
Barbados,2013,Individuals using the Internet (% of population),71.8
Barbados,2012,Individuals using the Internet (% of population),71.2
Barbados,2011,Individuals using the Internet (% of population),66.5
Barbados,2010,Individuals using the Internet (% of population),65.1
Barbados,2009,Individuals using the Internet (% of population),64.7
Barbados,2008,Individuals using the Internet (% of population),61.4
Barbados,2007,Individuals using the Internet (% of population),58.2
Barbados,2006,Individuals using the Internet (% of population),55.3
Barbados,2005,Individuals using the Internet (% of population),52.5
Barbados,2004,Individuals using the Internet (% of population),49.8
Barbados,2003,Individuals using the Internet (% of population),39.7
Barbados,2002,Individuals using the Internet (% of population),27.8
Barbados,2001,Individuals using the Internet (% of population),11.9
Barbados,2000,Individuals using the Internet (% of population),3.97
Barbados,1999,Individuals using the Internet (% of population),2.38
Barbados,1998,Individuals using the Internet (% of population),1.97
Barbados,1997,Individuals using the Internet (% of population),0.783
Barbados,1996,Individuals using the Internet (% of population),0.389
Barbados,1995,Individuals using the Internet (% of population),0.00775
Barbados,1990,Individuals using the Internet (% of population),0
